Actual,Predicted
1070.7,1170.2267301131596
4247.1,4374.453776639153
7887.7,7587.259331090399
9444.5,9619.035794963997
2731.8,2869.726716063955
2719.0,2606.339545995821
5392.8,5215.952593746357
5862.9,7607.658420963828
9490.5,9802.178343643502
11201.1,10846.60673154855
1318.3,1742.7593141668567
2779.4,2859.6838760291666
11764.1,11057.094019176375
10462.9,10032.208415943047
1090.8,1117.9412478737304
2463.3,2313.777631688232
3814.4,3561.5332946093204
8922.0,9054.255611691095
2726.6,2852.660055599068
7698.3,8061.078058445733
10323.0,10231.259652850053
3491.4,3802.749387886617
3209.9,2861.2835643552917
3018.1,2432.6999063966887
4113.4,3874.5750099513334
994.2,620.6589742495144
3624.6,3655.9753751783373
2421.6,2374.933349405075
6322.4,6053.5837635638545
9227.1,9132.938859691314
7183.1,7345.853034061985
8927.8,9073.676816512563
10832.1,11317.268523775982
2346.1,2067.9985640019386
10498.2,10441.656247702596
4217.7,4279.80594122709
1439.7,1357.6178232508046
1633.3,1921.4411948074794
1458.7,1543.0908633729068
7809.2,8357.018842390704
2342.8,2605.6508005699234
1528.6,1302.7549257646988
709.5,1849.3369459766054
1055.9,1367.9245972650042
8200.4,7801.537172112594
3855.6,3733.4510965964964
3625.3,5032.1065876528555
4145.0,4357.42725707267
3436.0,3258.6092483517223
7661.6,7968.055657283645
2452.9,2283.0741644582104
347.3,565.4393910863018
8735.2,9364.321539403152
1997.1,2308.5024727696527
1230.6,1486.4463579448147
12408.9,11706.337267854275
7405.8,7496.059032797197
1139.9,1046.6801227325068
3047.9,3067.1204753901784
11829.3,11521.878125437384
4338.8,4517.470429480989
3732.3,3234.975535386484
11830.0,11222.07026288652
8397.4,9085.212037570973
1476.8,2181.640327886127
6841.4,7317.133298911003
1349.1,1528.3638894808919
2973.5,2645.942321629389
3395.2,3123.497531188719
2375.5,2289.1474826971044
4570.6,4194.086325888429
4220.2,5284.341611231426
2688.1,2479.765477325136
186.9,335.3733083366478
942.6,1152.6839791682087
1246.4,1386.1405161010425
836.5,226.78090862920544
1431.7,1484.5616883895218
1997.9,1847.003821165892
3277.6,2635.687175600973
933.4,1141.8012660765398
7024.3,6762.063919824106
3607.1,3674.388017755069
1796.7,1880.1354548285399
2372.6,2862.862678912157
2241.2,2525.4416366898895
1266.6,1465.6208862536096
2399.2,2351.6481442291497
2503.2,2329.7225970115487
3239.8,2382.721457402402
2585.5,2371.067645584766
2448.7,2180.405010601922
6614.2,6345.792688091367
4061.0,3591.993276209696
9618.8,9570.009172082087
2073.2,2101.7581738480458
10559.7,10120.611916877528
4187.6,3748.6694177375266
2023.2,2062.217204883238
3310.1,2662.29914668733
1008.6,1062.07713655296
2454.4,2397.0625948854813
3390.8,3447.0569223278526
900.3,935.9822356677432
1022.3,621.4254654148554
7075.0,6975.89533866368
2748.2,2622.682514231603
8481.6,10216.019001315371
3710.2,3481.1880437092714
3761.5,3709.9255899163054
9597.2,9324.328669346223
10993.8,10578.902162806853
1412.3,1590.7492093826386
2923.2,3223.0094385060456
1440.6,1557.8074567831372
11300.1,10895.666596653778
3124.1,3165.304356652612
2941.1,2376.8563739360634
743.6,592.8220810326038
3462.0,2989.7005071653493
